Date: Thu, 24 Jul 2025 22:48:47 GMT
Content-Type: application/json; charset=utf-8
Transfer-Encoding: chunked
Connection: keep-alive
Content-Encoding: gzip
Access-Control-Allow-Origin: *
Etag: W/"440-ZjsmMKR8P3usr2uJZbOCGCxC3Uw"
Nel: {"report_to":"heroku-nel","response_headers":["Via"],"max_age":3600,"success_fraction":0.01,"failure_fraction":0.1}
Ratelimit-Limit: 100
Ratelimit-Policy: 100;w=60
Ratelimit-Remaining: 97
Ratelimit-Reset: 43
Referrer-Policy: strict-origin-when-cross-origin
Report-To: {"group":"heroku-nel","endpoints":[{"url":"https://nel.heroku.com/reports?s=R1rIPkVg8ko2mFB9RXTdQABqxGtPy7ePS2rJANftD7c%3D\u0026sid=c4c9725f-1ab0-44d8-820f-430df2718e11\u0026ts=1753395001"}],"max_age":3600}
Reporting-Endpoints: heroku-nel="https://nel.heroku.com/reports?s=R1rIPkVg8ko2mFB9RXTdQABqxGtPy7ePS2rJANftD7c%3D&sid=c4c9725f-1ab0-44d8-820f-430df2718e11&ts=1753395001"
Via: 1.1 heroku-router
X-Content-Type-Options: nosniff
X-Frame-Options: DENY
X-Request-Id: fbdf48b0-0ef4-7142-044d-e700f0bc02ea
X-Xss-Protection: 1; mode=block
Age: 2325
Cache-Control: max-age=14400
cf-cache-status: HIT
Vary: Accept-Encoding
Server: cloudflare
CF-RAY: 9646f78e89ccb90a-IAD
server-timing: cfL4;desc="?proto=TCP&rtt=6060&min_rtt=5169&rtt_var=1674&sent=11&recv=11&lost=0&retrans=0&sent_bytes=7167&recv_bytes=1205&delivery_rate=970768&cwnd=253&unsent_bytes=0&cid=c69c442837ce564b&ts=95&x=0"
